,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,77.0,7.0,1.0,13.0,4.0,48.0,113.0,0.0,7.0,42.0,16.0,114.0,77.0,42.0,6.0,51.0,5.0,3.0,1.0,0.0,35.0,28.0,125.0,57.0,0.0,148.0,6.0,40.0,4.0,0.0,2.0,1.0,242.0,6.0,0.0,1.0,3.0,393.0,16.0,1.0,65.0,38.0,3.0,0.0,58.0,145.0,448.0,0.0,121.0,13.0,0.0,0.0,90.0,0.0,0.0,2.0,52.0,19.0,35.0,9.0,6.0,0.0,17.0,0.0,3.0,89.0,3.0,509.0,201.0,50.0,0.0,0.0,9.0,22.0,2.0,5.0,9.0,36.0,30.0,3.0,73.0,6.0,17.0,0.0,35.0,17.0,8.0,291.0,157.0,1.0,34.0,4.0,0.0,6.0,5.0,30.0,1.0,76.0,95.0,44.0,15.0,37.0,0.0,51.0,19.0,0.0,193.0,34.0,30.0,28.0,2.0,8.0,0.0,13.0,160.0
Italy,47.0,14.0,1.0,50.0,13.0,36.0,42.0,1.0,8.0,23.0,91.0,144.0,22.0,10.0,2.0,90.0,1.0,26.0,0.0,5.0,31.0,31.0,146.0,55.0,0.0,208.0,18.0,42.0,35.0,0.0,8.0,1.0,578.0,4.0,0.0,8.0,0.0,153.0,60.0,2.0,8.0,108.0,1.0,0.0,79.0,296.0,476.0,5.0,212.0,89.0,0.0,0.0,249.0,2.0,1.0,1.0,271.0,25.0,222.0,25.0,5.0,0.0,28.0,2.0,12.0,113.0,6.0,1059.0,660.0,18.0,1.0,0.0,43.0,144.0,1.0,94.0,97.0,20.0,192.0,8.0,27.0,24.0,29.0,0.0,72.0,417.0,2.0,250.0,132.0,20.0,164.0,4.0,5.0,10.0,3.0,37.0,0.0,109.0,61.0,46.0,184.0,44.0,0.0,8.0,3.0,2.0,191.0,0.0,41.0,76.0,1.0,109.0,0.0,30.0,208.0
Turkey,2.0,21.0,0.0,6.0,2.0,3.0,6.0,0.0,1.0,0.0,27.0,1.0,3.0,20.0,0.0,96.0,12.0,2.0,2.0,1.0,22.0,5.0,7.0,135.0,0.0,30.0,10.0,7.0,3.0,0.0,6.0,0.0,28.0,2.0,0.0,0.0,0.0,223.0,32.0,0.0,1.0,1.0,5.0,0.0,43.0,127.0,76.0,11.0,38.0,3.0,2.0,0.0,124.0,0.0,0.0,0.0,3.0,4.0,20.0,4.0,0.0,0.0,15.0,0.0,8.0,41.0,0.0,215.0,29.0,31.0,0.0,0.0,10.0,2.0,0.0,13.0,3.0,22.0,50.0,0.0,295.0,76.0,0.0,0.0,34.0,13.0,26.0,73.0,83.0,0.0,65.0,7.0,0.0,5.0,9.0,6.0,0.0,50.0,14.0,1.0,14.0,6.0,0.0,0.0,0.0,10.0,161.0,0.0,21.0,40.0,6.0,83.0,1.0,5.0,23.0
Japan,7.0,5.0,1.0,26.0,2.0,24.0,1.0,5.0,15.0,5.0,2.0,4.0,4.0,34.0,2.0,106.0,0.0,5.0,0.0,0.0,115.0,7.0,27.0,13.0,0.0,74.0,2.0,36.0,46.0,0.0,6.0,0.0,40.0,0.0,0.0,4.0,76.0,165.0,5.0,3.0,7.0,12.0,1.0,0.0,13.0,26.0,34.0,3.0,37.0,13.0,0.0,0.0,161.0,12.0,3.0,71.0,2.0,0.0,164.0,0.0,1.0,0.0,4.0,0.0,9.0,54.0,9.0,260.0,17.0,0.0,0.0,0.0,2.0,22.0,0.0,6.0,26.0,22.0,10.0,0.0,25.0,6.0,1.0,1.0,3.0,91.0,17.0,62.0,19.0,1.0,0.0,4.0,0.0,1.0,13.0,7.0,0.0,87.0,14.0,32.0,2.0,3.0,1.0,0.0,2.0,0.0,43.0,0.0,12.0,5.0,0.0,2.0,0.0,8.0,54.0
France,4.0,11.0,3.0,63.0,4.0,8.0,17.0,0.0,0.0,2.0,91.0,159.0,13.0,21.0,5.0,378.0,0.0,8.0,2.0,20.0,82.0,19.0,198.0,97.0,0.0,232.0,6.0,55.0,6.0,0.0,9.0,0.0,305.0,1.0,0.0,3.0,2.0,377.0,36.0,2.0,30.0,43.0,0.0,0.0,21.0,99.0,63.0,1.0,34.0,9.0,7.0,0.0,567.0,0.0,1.0,0.0,12.0,3.0,174.0,15.0,113.0,0.0,174.0,0.0,12.0,171.0,0.0,670.0,90.0,4.0,0.0,0.0,14.0,25.0,4.0,8.0,29.0,7.0,48.0,6.0,22.0,47.0,7.0,0.0,20.0,37.0,10.0,45.0,166.0,7.0,5.0,13.0,2.0,8.0,13.0,20.0,0.0,192.0,41.0,41.0,65.0,22.0,0.0,3.0,2.0,0.0,157.0,3.0,75.0,23.0,1.0,39.0,0.0,104.0,285.0
Russian Federation,12.0,62.0,22.0,55.0,18.0,25.0,43.0,0.0,7.0,1.0,55.0,16.0,26.0,20.0,0.0,345.0,7.0,3.0,6.0,0.0,42.0,19.0,96.0,78.0,0.0,224.0,180.0,57.0,9.0,32.0,3.0,0.0,147.0,0.0,0.0,21.0,1.0,397.0,11.0,30.0,3.0,12.0,6.0,0.0,149.0,137.0,68.0,3.0,30.0,5.0,0.0,0.0,984.0,2.0,0.0,1.0,0.0,3.0,13.0,9.0,5.0,0.0,274.0,0.0,11.0,53.0,2.0,840.0,42.0,7.0,0.0,0.0,52.0,1.0,0.0,35.0,6.0,31.0,77.0,0.0,167.0,7.0,4.0,0.0,141.0,94.0,7.0,59.0,34.0,0.0,5.0,4.0,0.0,12.0,35.0,10.0,20.0,78.0,41.0,6.0,19.0,20.0,3.0,37.0,22.0,0.0,454.0,15.0,145.0,54.0,0.0,9.0,0.0,60.0,76.0
United Kingdom,1.0,21.0,5.0,13.0,7.0,36.0,7.0,1.0,25.0,7.0,46.0,37.0,83.0,42.0,5.0,394.0,0.0,14.0,43.0,28.0,371.0,48.0,38.0,42.0,2.0,301.0,7.0,297.0,12.0,0.0,52.0,5.0,210.0,5.0,0.0,15.0,7.0,388.0,56.0,3.0,208.0,36.0,27.0,0.0,45.0,166.0,500.0,5.0,179.0,60.0,9.0,0.0,683.0,5.0,1.0,2.0,47.0,17.0,63.0,18.0,32.0,0.0,110.0,1.0,14.0,168.0,3.0,410.0,165.0,16.0,0.0,0.0,52.0,21.0,16.0,23.0,28.0,78.0,76.0,3.0,69.0,52.0,5.0,2.0,47.0,89.0,31.0,258.0,166.0,7.0,9.0,12.0,0.0,22.0,15.0,51.0,1.0,93.0,100.0,112.0,13.0,30.0,4.0,16.0,32.0,4.0,133.0,0.0,116.0,30.0,2.0,20.0,0.0,32.0,152.0
"Venezuela, Bolivarian Republic of",3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,42.0,7.0,34.0,1.0,12.0,0.0,68.0,0.0,0.0,0.0,0.0,29.0,0.0,61.0,326.0,0.0,65.0,1.0,42.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,4.0,1.0,0.0,2.0,2.0,0.0,64.0,84.0,22.0,0.0,4.0,3.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,440.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,58.0,0.0,4.0,0.0,0.0,0.0,41.0,26.0,0.0,48.0,4.0,0.0,6.0,3.0,0.0,13.0,1.0,2.0,0.0,8.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,63.0,0.0,23.0,7.0,0.0,0.0,0.0,19.0,95.0
Egypt,1.0,0.0,0.0,104.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,201.0,0.0,34.0,1.0,144.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,121.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,16.0,101.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,39.0,1.0,2.0,0.0,0.0,1.0,21.0,3.0,2.0,9.0,0.0,78.0,7.0,22.0,0.0,0.0,0.0,3.0,10.0,0.0,42.0,5.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,22.0,6.0,1.0,1.0,0.0,13.0,3.0,0.0,0.0,34.0,0.0,7.0,71.0,2.0,2.0,0.0,10.0,7.0
United States,11.0,87.0,12.0,148.0,65.0,192.0,104.0,5.0,72.0,104.0,385.0,150.0,182.0,132.0,82.0,2540.0,1.0,110.0,80.0,26.0,1184.0,592.0,355.0,136.0,48.0,1807.0,14.0,1075.0,133.0,0.0,305.0,64.0,1145.0,10.0,0.0,29.0,47.0,763.0,271.0,23.0,101.0,99.0,67.0,3.0,941.0,2171.0,2195.0,19.0,1269.0,450.0,70.0,1.0,2497.0,16.0,3.0,15.0,286.0,21.0,159.0,28.0,13.0,0.0,423.0,4.0,195.0,555.0,33.0,4849.0,225.0,226.0,2.0,9.0,122.0,107.0,21.0,212.0,172.0,232.0,381.0,12.0,447.0,880.0,49.0,12.0,172.0,563.0,101.0,1361.0,744.0,38.0,55.0,29.0,0.0,151.0,48.0,320.0,2.0,488.0,248.0,174.0,199.0,289.0,8.0,28.0,50.0,6.0,544.0,4.0,398.0,281.0,0.0,201.0,2.0,268.0,1317.0
Latvia,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,3.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
Mauritania,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Peru,1.0,4.0,0.0,0.0,1.0,2.0,14.0,0.0,4.0,8.0,21.0,19.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,6.0,77.0,8.0,0.0,11.0,0.0,5.0,0.0,0.0,2.0,2.0,17.0,1.0,0.0,0.0,0.0,19.0,4.0,0.0,3.0,8.0,8.0,0.0,13.0,41.0,10.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,97.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,15.0,60.0,0.0,20.0,0.0,2.0,0.0,11.0,22.0,0.0,26.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,11.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,52.0,1.0,4.0,3.0,0.0,1.0,0.0,12.0,113.0
Croatia,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0
Ghana,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,44.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,15.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,7.0,6.0,3.0,12.0,2.0,0.0,1.0,8.0,0.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,0.0,2.0,3.0,19.0,2.0
Norway,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,54.0,0.0,0.0,7.0,11.0,9.0,1.0,17.0,0.0,2.0,0.0,0.0,24.0,13.0,2.0,7.0,0.0,30.0,1.0,11.0,1.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,1.0,1.0,3.0,0.0,3.0,8.0,10.0,1.0,14.0,3.0,0.0,0.0,52.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,8.0,2.0,2.0,3.0,0.0,106.0,8.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,21.0,1.0,5.0,1.0,98.0,1.0,2.0,0.0,7.0,2.0,3.0,9.0,43.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,21.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,26.0,9.0,3.0,2.0,0.0,2.0,0.0,2.0,8.0
Romania,1.0,1.0,0.0,14.0,3.0,5.0,12.0,0.0,0.0,3.0,17.0,2.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,13.0,2.0,20.0,18.0,0.0,6.0,0.0,19.0,1.0,0.0,1.0,0.0,66.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,14.0,0.0,0.0,3.0,34.0,57.0,15.0,12.0,6.0,0.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,3.0,0.0,29.0,0.0,3.0,7.0,0.0,62.0,153.0,4.0,0.0,0.0,0.0,105.0,0.0,0.0,4.0,4.0,6.0,9.0,5.0,0.0,1.0,0.0,10.0,5.0,0.0,8.0,61.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,6.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,81.0,0.0,18.0,79.0,0.0,15.0,0.0,1.0,38.0
Ecuador,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,10.0,0.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,15.0,19.0,0.0,15.0,8.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,22.0,4.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,14.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,25.0
Belgium,1.0,2.0,0.0,39.0,0.0,4.0,15.0,0.0,3.0,1.0,0.0,4.0,8.0,12.0,0.0,54.0,0.0,3.0,1.0,1.0,10.0,3.0,12.0,8.0,0.0,73.0,3.0,10.0,1.0,0.0,13.0,0.0,44.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,4.0,1.0,0.0,0.0,8.0,16.0,25.0,0.0,13.0,3.0,0.0,0.0,64.0,0.0,0.0,0.0,77.0,0.0,15.0,1.0,2.0,0.0,5.0,0.0,3.0,27.0,0.0,88.0,6.0,0.0,0.0,0.0,11.0,4.0,0.0,1.0,1.0,1.0,14.0,1.0,7.0,1.0,0.0,0.0,15.0,7.0,0.0,11.0,29.0,0.0,3.0,0.0,1.0,13.0,3.0,1.0,0.0,14.0,10.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,49.0,0.0,1.0,10.0,0.0,2.0,0.0,2.0,14.0
Australia,2.0,4.0,0.0,31.0,2.0,11.0,10.0,9.0,4.0,5.0,3.0,9.0,46.0,10.0,4.0,166.0,0.0,2.0,0.0,1.0,39.0,19.0,34.0,15.0,0.0,46.0,3.0,80.0,4.0,0.0,3.0,3.0,148.0,1.0,0.0,0.0,0.0,122.0,15.0,2.0,75.0,4.0,2.0,30.0,23.0,134.0,102.0,1.0,27.0,5.0,4.0,1.0,585.0,1.0,0.0,0.0,10.0,0.0,14.0,27.0,12.0,0.0,11.0,0.0,4.0,32.0,5.0,181.0,48.0,1.0,0.0,6.0,5.0,5.0,0.0,9.0,26.0,53.0,22.0,19.0,17.0,12.0,3.0,0.0,13.0,18.0,5.0,117.0,207.0,2.0,4.0,4.0,1.0,87.0,2.0,14.0,0.0,80.0,21.0,0.0,4.0,73.0,1.0,3.0,2.0,0.0,56.0,1.0,25.0,13.0,0.0,6.0,0.0,12.0,62.0
Malaysia,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,2.0,0.0,41.0,0.0,11.0,0.0,1.0,3.0,0.0,43.0,16.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,56.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,15.0,20.0,0.0,4.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,43.0,26.0,0.0,163.0,1.0,2.0,0.0,30.0,2.0,4.0,0.0,1.0,5.0,7.0,1.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,30.0
Congo,1.0,4.0,0.0,7.0,3.0,0.0,4.0,0.0,0.0,3.0,6.0,34.0,2.0,83.0,7.0,107.0,56.0,12.0,0.0,0.0,0.0,1.0,22.0,4.0,0.0,5835.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,33.0,4.0,6.0,0.0,5.0,0.0,7.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,157.0,0.0,0.0,6.0,0.0,1.0,9.0,0.0,0.0,0.0,11.0,0.0,13.0,219.0,71.0,461.0,2.0,2.0,0.0,0.0,0.0,40.0,5.0,2.0,1.0,0.0,146.0,0.0,1.0,2.0,9.0,0.0,4.0,8.0,5.0,13.0,7.0,0.0,0.0,5.0,0.0,0.0,8.0,7.0,0.0,78.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,26.0,1.0,50.0,7.0,2.0,4.0,0.0,37.0,114.0
Chile,1.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,31.0,1.0,0.0,20.0,5.0,4.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,96.0,0.0,24.0,11.0,5.0,0.0,5.0,0.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,43.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0,29.0,4.0,0.0,0.0,2.0,3.0,40.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,34.0
Hong Kong,1.0,1.0,0.0,66.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,60.0,0.0,9.0,1.0,2.0,195.0,0.0,27.0,0.0,0.0,48.0,2.0,5.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,22.0,5.0,31.0,0.0,0.0,0.0,0.0,157.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,192.0,2.0,1.0,0.0,1.0,0.0,44.0,1.0,5.0,7.0,5.0,3.0,1.0,8.0,3.0,0.0,0.0,3.0,9.0,47.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,61.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,0.0,4.0,0.0,4.0,12.0
